ACTIVITY,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,LIGHT,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z_azimuth,ORIENTATION_X_pitch,ORIENTATION_Y_roll,PROXIMITY,SOUND_LEVEL,LOCATION_Latitude,LOCATION_Longitude,LOCATION_Altitude,LOCATION_Altitude-google,LOCATION_Speed,LOCATION_Accuracy,LOCATION_ORIENTATION,Satellites_in_range,Time,Date
WALKING,4.833496,-22.818571,0.034225,-1.7482810000000002,-9.585514,-1.109875,5.194464,-10.414653,2.656348,-2.857132,1.7015529999999999,1.2492219999999998,0.0,-2.8687,29.3091,-4.9316,53.0075,75.7397,3.2765,0,67.77774000000001,60.016552000000004,30.368374,51,,3.9960000000000004,15.170001000000001,351.5,20 / 31,610018,2020-01-17 15:31:43:245
WALKING,-6.267227,-11.930939,-4.311249,0.47396400000000005,-9.428607000000001,2.654644,-2.1725830000000004,1.8890799999999999,-2.207217,1.880982,-0.820816,-0.811188,0.0,-0.7659999999999999,37.5595,7.3227,354.4787,83.1876,17.1293,0,70.28426999999999,60.016624,30.368307,51,,3.42,15.170001000000001,344.5,23 / 31,615017,2020-01-17 15:31:48:244
WALKING,3.253327,-4.706436,-0.6229859999999999,-0.8151390000000001,-9.763065,0.43417799999999995,-1.1034190000000001,-0.36948400000000003,-3.520263,2.46048,-1.803345,-1.064529,0.0,9.9289,35.5087,30.9738,216.8415,71.6685,138.9539,0,68.76547,60.016684999999995,30.368208000000003,51,,5.364,18.203999,314.2,22 / 31,620018,2020-01-17 15:31:53:245
WALKING,-0.6755680000000001,-7.276611,1.65152,-1.778157,-9.4183,-2.07465,-2.762909,-2.032367,-3.143336,3.5191800000000004,-4.490829,-1.6651610000000001,0.0,-2.1164,36.2579,26.2756,247.3903,73.8217,139.4005,0,70.1774,60.016740000000006,30.368059999999996,50,,5.58,16.687,353.6,21 / 31,625018,2020-01-17 15:31:58:245
WALKING,2.506333,-4.568771,-2.862747,-1.3039889999999998,-9.615653,-1.417474,1.7540689999999999,3.182454,-1.111725,3.507111,-2.711136,-1.1781620000000002,0.0,11.5356,31.8588,17.6743,105.0102,59.4507,162.5491,0,66.32924,60.016773,30.368022999999997,48,,4.428,18.203999,330.2,19 / 31,630018,2020-01-17 15:32:03:245
WALKING,-6.263626,-12.837143,-8.539413,-1.9244290000000002,-9.309919,-2.40673,-1.4216440000000001,0.913164,16.690426000000002,2.846466,-3.712128,-1.7834009999999998,0.0,15.0284,34.8602,24.8184,127.5431,58.0006,163.0837,0,71.00107,60.01686,30.367990000000002,48,,7.632000000000001,18.203999,356.3,19 / 31,635018,2020-01-17 15:32:08:245
WALKING,-7.476288,-11.158813,13.53154,-1.658539,-8.941856,-3.669176,3.460889,4.681126,6.611383999999999,-1.181122,-1.451981,-0.494446,0.0,15.5304,38.4598,21.0175,114.1832,61.6254,161.8322,0,65.67721999999999,60.016994,30.367994,48,,5.724,18.203999,0.9,20 / 31,640018,2020-01-17 15:32:13:245
WALKING,13.280242999999999,-5.872406,-24.365082,-0.927426,-8.485533,-4.827628,0.874501,-2.436704,-2.460531,0.009308,-1.7305599999999999,0.008545,0.0,13.2797,31.2088,23.8724,146.373,65.5905,158.1679,0,62.1704,60.017063,30.367949,50,,6.984,19.720999,347.4,21 / 31,645018,2020-01-17 15:32:18:245
WALKING,-11.487778,-11.052261,10.694412,-1.386642,-8.674899,-4.35818,2.010394,2.408266,4.667545,0.766708,-1.6858060000000001,-0.170242,0.0,15.1337,36.5601,19.4672,116.0059,63.0247,159.9812,0,60.71651,60.017196999999996,30.367729999999998,49,,10.728,19.720999,325.7,21 / 31,650018,2020-01-17 15:32:23:245
WALKING,-6.2708129999999995,-23.244736,11.174453999999999,-1.243781,-8.642059,-4.465222,3.917044,-9.937702999999999,-9.844254,-1.278946,-0.281433,-0.977707,0.0,13.382,35.8597,22.3175,118.8199,60.7117,165.2372,0,65.35073,60.017315,30.367668,51,,4.6080000000000005,19.720999,343.2,21 / 31,655018,2020-01-17 15:32:28:245
WALKING,-0.079407,-9.606171,-9.802353,-1.521944,-8.879389999999999,-3.874343,2.181869,-15.194547,-16.18843,-0.100586,-0.14189100000000002,-0.10899400000000001,0.0,12.532,33.2077,24.823,118.7302,55.6897,167.2042,0,66.78675,60.01739,30.367651000000002,52,,4.824,18.203999,354.4,21 / 31,660017,2020-01-17 15:32:33:244
WALKING,-4.0753330000000005,-14.201842999999998,-19.113402999999998,-1.281411,-8.672757,-4.3945050000000005,0.440934,-6.790357000000001,-10.718741,1.581467,-0.287827,0.326874,0.0,11.4319,26.9089,28.7704,178.287,56.3601,159.8279,0,62.50405,60.01749,30.367664,51,,6.587999999999999,16.687,10.4,22 / 31,665018,2020-01-17 15:32:38:245
WALKING,3.4257050000000002,-27.849990000000002,-17.074738,-1.282793,-8.630342,-4.476831,1.628284,-5.525215,-10.043481,1.55661,-0.378387,0.272018,0.0,11.9324,32.4097,27.6184,165.7518,56.4011,160.4406,0,61.501740000000005,60.017563,30.367657,50,,6.84,16.687,0.0,22 / 31,670018,2020-01-17 15:32:43:245
